occupationDescription,urbanValue,ruralValue
"Science Engineering and Production Technicians",125.45945093089303,92.09055024867767
"CAD Drawing and Architectural Technicians",38.22278321236983,18.7106655088024
"Information Technology Technicians",132.77721678763018,71.2321781005763
"Health Associate Professionals",58.89365730514358,38.56951132864925
"Welfare and Housing Associate Professionals",145.74092773745662,88.07728743980421
"Teaching and Childcare Associate Professionals",118.37298832439255,70.60416831136023
"Veterinary nurses",7.048280214578732,7.515275913791743
"Protective Service Occupations",161.5326601451562,135.0854188047683
"Artistic Literary and Media Occupations",249.7030609024929,106.42788347675061
"Design Occupations",47.810981382139474,22.323280966290362
"Sports and Fitness Occupations",73.97633322814768,50.71879687376648
"Transport Associate Professionals",9.931208583149258,10.917186389831846
"Legal Associate Professionals",28.096560429157464,14.926344043577801
"Finance Associate Professionals",120.15115178289682,62.81297860582616
"Business Associate Professionals",166.5541180183023,89.64719349490802
"Sales Marketing and Related Associate Professionals",435.2467655411802,247.28988710823398
"Public Services Associate Professionals",25.64215840959293,15.050919712639141
"HR Training and Other Vocational Associate Guidance Professionals",173.24171662985168,102.82829399226335
"Regulatory Associate Professionals",32.85295045755759,27.98634246467198
"Administrative Occupations: Government and Related Organisations",159.53644682865257,100.79545275124339
"Administrative Occupations: Finance",292.5733669927422,175.25767742954133
"Administrative Occupations: Records",191.54307352477122,118.15094339622641
"Administrative Occupations: Office Managers and Supervisors",127.54433575260335,83.3128601878898
"Other Administrative Occupations",366.3957084253708,238.79782110997078
"Secretarial and Related Occupations",313.1145471757652,201.13704902502565
"Agricultural and Related Trades",76.91385295045755,134.0600773663851
"Metal Forming Welding and Related Trades",61.58409592931524,50.72321781005763
"Metal Machining Fitting and Instrument Making Trades",95.63332281476806,78.90360779979474
"Vehicle Trades",100.7633322814768,85.40648930291309
"Electrical and Electronic Trades",187.31397917324077,129.2650193415963
"Skilled Metal Electrical and Electronic Trades Supervisors",16.686651940675294,14.994473829636062
"Construction and Building Trades",400.9296307983591,283.5434593826478
"Building Finishing Trades",132.04638687283054,80.39283176758506
"Construction and Building Trades Supervisors",30.089618176080783,20.461198389516067
"Textiles and Garments Trades",23.797727989902178,13.495144864608825
"Printing Trades",15.497002208898706,10.260440514723296
"Food Preparation and Hospitality Trades",256.1647207320921,142.66385095129075
"Other Skilled Trades",33.76964342063742,26.644193573853318
"Teaching and Childcare Support Occupations",318.35153045124645,192.58561616799557
"Animal Care and Control Services",28.606500473335437,32.8515039077919
"Caring Personal Services",777.9886399495109,504.6637720059998
"Leisure and Travel Services",69.0255601136005,38.81597852688087
"Hairdressers and Related Services",133.9296307983591,88.99242125207232
"Housekeeping and Related Services",87.53928684127484,48.47667166653509
"Cleaning and Housekeeping Managers and Supervisors",35.558220258756705,19.640009473434908
"Bed and Breakfast and Guest House Owners and Proprietors",1.5285579047017988,3.4987763479908423
"Community and Civil Enforcement Occupations",13.196276427895235,8.032209678692666
"Sales Assistants and Retail Cashiers",770.8542126853897,465.4653035446436
"Sales Related Occupations",39.23319659198485,22.700718402147313
"Shopkeepers and Sales Supervisors",151.29851688229726,101.17194284360937
"Customer Service Occupations",263.2991479962133,138.33362279940002
"Customer Service Supervisors",10.780687914168507,6.226494039630536
"Process Operatives",125.80971915430736,92.99873687534539
"Metal Working Machine Operatives",24.873461659829598,18.141943633062287
"Plant and Machine Operatives",39.58788261281161,34.50398673719113
"Assemblers and Routine Operatives",99.36257494477753,69.03520959974738
"Construction Operatives",96.65130956137583,62.84668824504618
"Production Factory and Assembly Supervisors",28.582202587567057,22.126707191916
"Road Transport Drivers",590.2357210476491,317.70924449356596
"Mobile Machine Drivers and Operatives",64.65036289050174,48.67395594852767
"Other Drivers and Transport Operatives",43.59040706847586,25.358016894292255
"Elementary Agricultural Occupations",10.078889239507731,26.39314754874872
"Elementary Construction Occupations",96.50836225938782,62.68998184258309
"Elementary Process Plant Occupations",127.54812243609972,83.92563353595958
"Elementary Administration Occupations",99.04165351846008,56.576932185995105
"Elementary Cleaning Occupations",455.4193751972231,243.1337333228073
"Elementary Security Occupations",184.63931839697065,79.48606615615378
"Elementary Sales Occupations",44.31082360366046,28.017052182837293
"Elementary Storage Occupations",334.2104764910066,185.44754085418805
"Other Elementary Services Occupations",424.5926159671821,235.13681218915292
